player,club,games_played,games_started,mins,sub,goals,pass,assists,total_scoring_attempts,on_target_scoring_attempts,key_passes,expected_goals,fouls,fouls_suffered,offside,yellow_cards,total_red_cards
jonathan-bamba,CHI,6,6,508,0,0,78.3,4,7,1,11,0.33,8,6,3,0
fidel-barajas,DC,2,0,18,2,0,100,0,0,0,1,0,0,1,0,0
jesus-barea,RSL,1,0,45,1,0,93.3,0,4,2,0,0.77,0,1,0,0
tom-barlow,CHI,6,0,102,6,0,71.4,0,1,1,1,0.07,3,0,4,1
luis-barraza,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lucas-bartlett,DC,6,6,540,0,0,84.4,1,3,0,0,0.54,8,3,1,1
jacob-bartlett,SKC,3,3,172,0,0,87,0,0,0,0,0,3,1,0,2
ethan-bartlow,HOU,5,4,336,1,0,76.7,0,4,1,1,0.78,5,0,0,1
sam-bassett,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zorhan-bassong,SKC,5,3,230,2,0,87.4,0,1,1,1,0.03,3,4,1,0
andy-batioja,HOU,1,0,9,1,0,100,0,0,0,0,0,0,0,0,0
timo-baumgartl,STL,2,0,13,2,0,0,0,2,1,0,0.12,0,0,0,0
tanner-beason,NE,1,0,53,1,0,76.9,0,1,1,0,0.01,0,0,0,0
adam-beaudry,COL,1,1,90,0,0,31.8,0,0,0,0,0,0,0,0,0
alejandro-bedoya,PHI,3,0,33,3,0,84,1,0,0,0,0,2,0,0,0
jon-bell,SEA,5,4,363,1,0,85.6,0,1,0,0,0.08,5,0,0,0
benjamin-bender,CLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramiro-benetti,DAL,6,6,481,0,0,83.8,0,1,0,1,0.03,10,2,2,3
sebastian-berhalter,VAN,6,6,487,0,0,85.1,0,9,2,19,0.34,9,6,1,1
miguel-berry,LA,6,2,222,4,0,81.8,2,2,2,6,0.73,1,0,0,0
david-bingham,CLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andre-blake,PHI,5,5,450,0,0,71.6,0,0,0,0,0,0,0,0,0
emmanuel-boateng,SD,2,0,74,2,0,82.3,0,0,0,0,0,0,0,0,0
isaac-boehmer,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wiktor-bogacz,RBNY,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
luca-bombino,SD,3,2,174,1,0,86.7,0,2,0,3,0.18,0,3,0,0
alex-bono,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dylan-borso,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denis-bouanga,LAFC,5,4,391,1,0,79.3,1,16,7,4,1.32,6,4,1,0
giuseppe-bovalina,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
michael-boxall,MIN,4,4,360,0,0,77,1,0,0,2,0,2,2,0,1
chris-brady,CHI,6,6,540,0,0,71.6,0,0,0,0,0,0,2,0,0
claudio-bravo,POR,2,0,3,2,0,100,0,1,1,0,0.36,0,0,0,0
david-brekalo,ORL,3,1,122,2,0,91.2,0,3,0,1,0.24,1,0,0,0
luke-brennan,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
