name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
santiago-moreno;POR;31;29;2443;6;7;49;0.22;4;0;0;5.91;60;21;35;10;2;18;20
cristian-olivera;LAFC;21;21;1727;6;10;45;0.31;4;0;0;9.29;59;30;50.9;10.2;8;0;7
gabriel-pirani;DC;33;13;1331;6;10;36;0.41;0;0;0;5.05;46;15;32.6;13;3;1;8
karol-swiderski;CLT;10;8;535;6;15;2;1.01;8;2;2;6.3;25;13;52;24;2;0;8
jamal-thiare;ATL;25;12;1144;6;6;7;0.47;13;0;0;8.36;28;15;53.6;21.4;11;0;6
kerwin-vargas;CLT;33;29;2465;6;14;39;0.22;9;0;1;5.83;62;19;30.6;9.7;9;17;7
ivan-angulo;ORL;34;34;2772;5;9;24;0.16;1;0;0;5.43;34;10;29.4;14.7;6;3;15
paul-arriola;DAL;31;28;2460;5;14;33;0.18;5;2;2;5.02;52;22;42.3;9.6;5;2;12
latif-blessing;HOU;27;12;983;5;5;8;0.46;7;0;0;5.48;21;8;38.1;23.8;7;0;6
kevin-cabral;COL;23;18;1320;5;13;16;0.34;5;0;0;7.79;35;15;42.9;14.3;9;0;9
hassani-dotson;MIN;29;26;2253;5;3;31;0.2;3;1;1;2.82;37;14;37.8;13.5;0;1;9
jesus-ferreira;DAL;22;14;1324;5;4;24;0.34;2;1;2;5.25;30;13;43.3;16.7;5;19;11
sebastian-ferreira;HOU;18;6;720;5;6;15;0.63;9;1;1;5.15;30;10;33.3;16.7;6;0;8
giorgos-giakoumakis;ATL;11;8;723;5;5;21;0.62;12;1;1;7.23;39;12;30.8;12.8;6;0;7
maren-haile-selassie;CHI;27;23;2040;5;7;26;0.22;5;1;1;6.41;39;19;48.7;12.8;10;38;13
cameron-harper;RBNY;27;16;1424;5;11;28;0.32;4;0;0;4.63;43;23;53.5;11.6;3;18;6
joao-klauss;STL;27;23;1969;5;9;55;0.23;14;1;2;10.34;79;25;31.6;6.3;11;1;8
