name;height;weight;date_of_birth;birthplace;position;footedness;roster_category;player_category
Jacob Murrell;6' 2\";;3.28.2004 (21);Forest Hill, MD, USA;Forward;;;
Nathan Ordaz;;;1.12.2004 (21);San Fernando Valley, CA, USA;Forward;;Supplemental Slots 29-30;Homegrown
;;;;;;;;
Prince Owusu;6' 3\";192 lbs;1.7.1997 (28);Wertheim, Germany;Forward;Left;;
Jayden Nelson;5' 7\";148 lbs;9.26.2002 (22);Brampton, ON, Canada;Midfielder;;Supplemental Slots 25-28;Homegrown
Jonathan Pérez;5' 7\";143 lbs;1.18.2003 (22);Whittier, CA, USA;Midfielder;Left;Supplemental Slots 29-30;Homegrown
Ezequiel Ponce;5' 11\";174 lbs;3.29.1997 (28);Rosario, Argentina;Forward;Right;;
Jamar Ricketts;5' 9\";;10.24.2001 (23);Montclair, NJ, USA;Defender;;;
Daniel Ríos;6' 1\";185 lbs;2.22.1995 (30);Mexico City, Mexico;Forward;;Senior;
Gabriel Pec;5' 8\";146 lbs;2.11.2001 (24);Petrópolis, Brazil;Forward;;;
Jonathan Osorio;5' 9\";152 lbs;6.12.1992 (32);Toronto, ON, Canada;Midfielder;Both;Senior;Designated Player
Rodrigues;6' 2\";168 lbs;10.10.1997 (27);Carnaúba dos Dantas, Brazil;Defender;;Senior;International
Paul Rothrock;5' 8\";163 lbs;1.9.1999 (26);unknown, USA;Forward;;;
Sigurd Rosted;6' 2\";176 lbs;7.22.1994 (30);Oslo, Norway;Defender;Right;Senior;International
Keegan Rosenberry;5' 8\";161 lbs;12.11.1993 (31);Ronks, PA, USA;Defender;Right;Senior;
Artem Smolyakov;5' 11\";;5.29.2003 (21);Baranivka, Ukraine;Defender;;;
Cristian Roldan;5' 8\";165 lbs;6.3.1995 (29);Artesia, CA, USA;Midfielder;Right;Senior;
Nathan Saliba;5' 11\";157 lbs;2.7.2004 (21);Montreal, QC, Canada;Midfielder;;Supplemental Slots 29-30;Homegrown
Dante Sealy;5' 10\";176 lbs;4.17.2003 (21);Brooklyn, NY, USA;Defender;Left;Senior;Homegrown
Mohammed Sofo;5' 9\";135 lbs;11.30.2004 (20);;Forward;Right;;
Luis Suárez;5' 9\";159 lbs;1.24.1987 (38);Salto, Uruguay;Forward;Right;Senior;International
Brandon Vázquez;6' 2\";196 lbs;10.14.1998 (26);Chula Vista, CA, USA;Forward;Right;Senior;Designated Player
Robert Taylor;6';172 lbs;10.21.1994 (30);Kuopio, Finland;Midfielder;Right;Senior;
Cengiz Ünder;5' 8\";146 lbs;7.14.1997 (27);Sındırgı, Turkey;Forward;Left;;
Dagur Thorhallsson;5' 10\";;5.2.2000 (24);Hafnarfjorour, Iceland, Iceland;Midfielder;Right;Senior;
Kerwin Vargas;5' 11\";154 lbs;1.2.2002 (23);Bogota, Colombia;Forward;Right;Senior;U22 Initiative
Sam Surridge;6' 2\";181 lbs;7.28.1998 (26);Slough, England;Forward;Right;Senior;Designated Player, International
Myrto Uzuni;5' 10\";159 lbs;5.31.1995 (29);Berat, Albania;Midfielder;Right;Senior;Designated Player, International
Erik Thommy;5' 9\";159 lbs;8.20.1994 (30);Ulm, Germany;Midfielder;Right;Senior;Designated Player
Mikael Uhre;6' 2\";185 lbs;9.30.1994 (30);Ribe, Denmark;Forward;Right;Senior;International, Designated Player
Cedric Teuchert;6';176 lbs;1.14.1997 (28);Coburg, Germany;Forward;Right;;
;;;;;;;;
Pedro Vite;5' 6\";150 lbs;3.9.2002 (23);Babahoyo, Ecuador;Midfielder;;Signed;International, U22 Initiative
Ashley Westwood;5' 9\";176 lbs;4.1.1990 (35);Nantwich, England;Midfielder;Right;;
Luis Abram;5' 11\";168 lbs;2.27.1996 (29);Lima, Peru;Defender;Left;Senior;International
Brian White;5' 11\";185 lbs;2.3.1996 (29);Pittsburgh, PA, USA;Forward;;Senior;
William Agada;5' 9\";165 lbs;9.17.1999 (25);Bauchi, Nigeria;Forward;;Senior;International
Chase Adams;;;4.17.2008 (16);;Forward;;;
Stephen Afrifa;5' 11\";150 lbs;2.19.2001 (24);Toronto, ON, Canada;Forward;Right;Supplemental Slots 25-28;International
Leo Afonso;;;7.13.2001 (23);;Forward;;;
Wilfried Zaha;6' 0\";146 lbs;11.10.1992 (32);Abidjan, Côte d'Ivoire;Forward;Right;;Designated Player, International
Alejandro Alvarado;5' 8\";;7.29.2003 (21);Los Angeles, CA, USA;Midfielder;;;
Malte Amundsen;5' 10\";179 lbs;2.11.1998 (27);Herfølge, Denmark;Defender;Left;Senior;
Pedro Amador;5' 11\";;12.18.1998 (26);Loures, Portugal;Defender;;;International
Fernando Álvarez;6' 2\";163 lbs;8.24.2003 (21);New York, USA;Defender;;;
Tomás Ángel;5' 9\";;2.20.2003 (22);Medellín, Colombia;Forward;;;
Ibrahim Aliyu;;;1.16.2002 (23);Kano, Nigeria;Forward;;Senior;U22 Initiative
Ali Ahmed;5' 11\";154 lbs;10.10.2000 (24);Toronto, ON, Canada;Midfielder;;Supplemental Slots 21-24;
Prince Amponsah;5' 11\";;8.30.2003 (21);Bronx, NY, USA;Defender;;;
Noah Allen;5' 8\";152 lbs;4.28.2004 (20);unknown, USA;Defender;;Supplemental Slots 29-30;Homegrown
Jordi Alba;5' 7\";148 lbs;3.21.1989 (36);L'Hospitalet de Llobregat, Spain;Defender;Left;Senior;International
Paul Arriola;5' 6\";146 lbs;2.5.1995 (30);Chula Vista, CA, USA;Midfielder;;Senior;
Josh Atencio;6' 1\";174 lbs;1.31.2002 (23);Bellevue, WA, USA;Midfielder;;Senior;Homegrown
Eduard Atuesta;5' 11\";154 lbs;6.18.1997 (27);Velez, Colombia;Midfielder;;Senior;
Christopher Applewhite;6' 2\";179 lbs;8.23.2007 (17);Alexandria, VA, USA;Defender;;;Homegrown
Brian Anunga;5' 11\";179 lbs;8.10.1996 (28);Yaoundé, Cameroon;Midfielder;;Senior;
Exon Arzu;5' 9\";181 lbs;5.19.2004 (20);;Forward;;;
Chidozie Awaziem;6' 2\";172 lbs;1.1.1997 (28);Enugu, Nigeria;Defender;Right;;
Femi Awodesu;6' 3\";172 lbs;4.5.2001 (24);Philadelphia, PA, USA;Defender;;;
Iván Angulo;5' 7\";146 lbs;3.22.1999 (26);San Andrés de Tumaco, Colombia;Forward;;Senior;International
Julián Aude;5' 11\";157 lbs;3.24.2003 (22);Lanús, Argentina;Defender;Left;Senior;U22 Initiative, International
;;;;;;;;
Reed Baker-Whiting;5' 11\";154 lbs;3.31.2005 (20);Seattle, WA, USA;Midfielder;;Supplemental Slots 29-30;Homegrown
David Ayala;5' 7\";137 lbs;7.26.2002 (22);Berazategui, Argentina;Midfielder;Left;Senior;International, U22 Initiative
Jonathan Bamba;5' 9\";159 lbs;3.26.1996 (29);Alfortville, France;Midfielder;Right;;Designated Player
Dominique Badji;6' 0\";170 lbs;10.16.1992 (32);Dakar, Senegal;Forward;;Senior;
Jeevan Badwal;5' 6\";163 lbs;3.11.2006 (19);Surrey, USA;Midfielder;;;
Mounsef Bakrar;6' 0\";176 lbs;1.13.2001 (24);Setif, Algeria;Forward;;Senior;U22 Initiative, International
Fidel Barajas;5' 10\";154 lbs;4.5.2006 (19);Scaramento, CA, USA;Forward;;;
Jesus Barea;5' 9\";168 lbs;4.28.2002 (22);Cádiz, Spain;Forward;;;
Cody Baker;5' 10\";154 lbs;1.7.2004 (21);unknown, USA;Defender;;Supplemental Slots 29-30;Homegrown
Tom Barlow;6' 2\";185 lbs;7.8.1995 (29);unknown, USA;Forward;;Senior;
Luis Barraza;6' 2\";194 lbs;11.8.1996 (28);Las Cruces, NM, USA;Goalkeeper;;Supplemental Slots 21-24;
Andy Batioja;;;1.31.2006 (19);;Forward;;;
Zorhan Bassong;5' 10\";172 lbs;5.7.1999 (25);Toronto, ON, USA;Defender;Left;Senior;
Lucas Bartlett;6' 3\";201 lbs;7.26.1997 (27);Overland Park, MO, USA;Defender;;Supplemental Slots 21-24;
Timo Baumgartl;6' 3\";194 lbs;3.4.1996 (29);Böblingen, Germany;Defender;Right;;
Sam Bassett;6' 0\";135 lbs;4.13.2003 (21);Wheat Ridge, CO, USA;Midfielder;;;Homegrown
Tanner Beason;6' 1\";176 lbs;3.23.1997 (28);Winston-Salem, NC, USA;Defender;;Senior;
