name;height;weight;date_of_birth;birthplace;position;footedness;roster_category;player_category
Braian Ojeda;5' 8\";152 lbs;6.27.2000 (24);Itaugua, Paraguay, Paraguay;Midfielder;Right;Senior;International
Luca Orellano;5' 7\";146 lbs;3.22.2000 (25);Álvarez, Argentina;Forward;Left;;
Sergio Oregel;5' 9\";143 lbs;5.16.2005 (19);Evergreen Park, IL, USA;Midfielder;;Supplemental Slots 25-28;Homegrown
Kwadwo Opoku;5' 7\";154 lbs;7.13.2001 (23);Accra, Ghana;Forward;;Senior;International
Wyatt Omsberg;6' 4\";181 lbs;9.21.1995 (29);Scarborough,ME, USA;Defender;;Senior;
Christopher Olney Jr;;;12.16.2006 (18);unknown, USA;Midfielder;;;
Devin Padelford;6' 0\";183 lbs;1.3.2003 (22);Maplewood, MN, USA;Defender;;Supplemental Slots 29-30;Homegrown
Tomas Ostrak;5' 9\";165 lbs;2.5.2000 (25);Frýdek-Místek, Czech Republic;Midfielder;Right;Ineligible - Injured List;International
Joseph Paintsil;5' 7\";154 lbs;2.1.1998 (27);Accra, Ghana;Forward;Right;;
Nelson Palacio;5' 11\";176 lbs;6.16.2001 (23);Apartadó, Colombia;Midfielder;Right;Senior;U22 Initiative, International
Jeisson Palacios;6' 1\";174 lbs;3.20.1994 (31);Carepa, Colombia;Defender;;;
Javier Otero;6' 6\";190 lbs;11.18.2002 (22);unknown, Venezuela;Goalkeeper;;Supplemental Slots 21-24;Homegrown
Joao Ortiz;5' 10\";;5.1.1996 (28);Esmeraldas, Ecuador;Midfielder;;;
Harold Osorio;5' 10\";154 lbs;8.20.2003 (21);San Salvador, El Salvador;Midfielder;;;
Sergi Palencia;5' 6\";148 lbs;3.23.1996 (29);Badalona, Spain;Defender;Right;Senior;International
Maarten Paes;6' 3\";181 lbs;5.14.1998 (26);Nijmegen, Netherlands;Goalkeeper;Right;Senior;
James Pantemis;6' 1\";170 lbs;2.21.1997 (28);Montreal, QC, Canada;Goalkeeper;;Supplemental Slots 21-24;Homegrown
Isaiah Parente;5' 10\";150 lbs;3.16.2000 (25);Medina, OH, USA;Midfielder;;Supplemental Slots 29-30;Homegrown
Tom Pearce;6' 1\";163 lbs;4.12.1998 (26);Ormskirk, England;Defender;;;
Cristhian Paredes;6' 0\";154 lbs;5.18.1998 (26);Paraguarí, Paraguay;Midfielder;Right;Senior;
Keaton Parks;6' 3\";179 lbs;8.6.1997 (27);Plano, TX, USA;Midfielder;Right;Senior;
Nick Pariano;5' 7\";;3.16.2003 (22);;Midfielder;;;
Jack Panayotou;5' 7\";146 lbs;6.5.2004 (20);Cambridge, MA, USA;Midfielder;;Supplemental Slots 29-30;Homegrown
Tim Parker;6' 2\";194 lbs;2.23.1993 (32);New York, NY, USA;Defender;;Senior;
;;;;;;;;
João Peglow;5' 8\";150 lbs;1.7.2002 (23);Porto Alegre, Brazil;Forward;;;
Raoul Petretta;5' 9\";154 lbs;3.24.1997 (28);Rheinfelden, Germany;Defender;Left;Senior;International
Andrés Perea;6' 0\";159 lbs;11.14.2000 (24);Tampa, FL, USA;Midfielder;Right;Senior;
Mauricio Pineda;6' 1\";172 lbs;10.17.1997 (27);Chicago, IL, USA;Defender;;Senior;Homegrown
Nikola Petkovic;;;2.23.2003 (22);unknown, Serbia;Midfielder;;;U22 Initiative, International
Luca Petrasso;5' 11\";168 lbs;6.16.2000 (24);North York, ON, Canada;Defender;Left;Supplemental Slots 25-28;Homegrown
Joaquín Pereyra;5' 11\";;12.1.1998 (26);Paraná, Argentina;Midfielder;;;Designated Player, International
Neil Pierre;6' 5\";;10.9.2007 (17);Lebanon, PA, USA;Midfielder;;;
Dani Pereira;5' 9\";150 lbs;7.14.2000 (24);Caracas, Venezuela;Midfielder;;Senior;
Ian Pilcher;6' 1\";;;Charlotte, NC, USA;Defender;;;
Samuel Piette;5' 7\";161 lbs;11.12.1994 (30);Le Gardeur, QC, Canada;Midfielder;Right;Senior;
Nemanja Radoja;6' 1\";170 lbs;2.6.1993 (32);Novi Sad, Serbia;Midfielder;Right;Senior;International
Matt Polster;6' 0\";170 lbs;6.8.1993 (31);Milwaukee, WI, USA;Midfielder;Right;Senior;
Ralph Priso;5' 9\";176 lbs;8.2.2002 (22);Toronto, ON, Canada;Midfielder;;Supplemental Slots 25-28;Homegrown
Owen Presthus;;;2.21.2006 (19);;Midfielder;;;
Philip Quinton;6' 6\";205 lbs;11.16.1999 (25);Portland, OR, USA;Defender;;;
John Pulskamp;6' 4\";209 lbs;4.19.2001 (23);Bakersfield, CA, USA;Goalkeeper;;Supplemental Slots 29-30;Homegrown
Gabriel Pirani;5' 7\";157 lbs;4.12.2002 (22);Penápolis, Brazil;Midfielder;;Senior;U22 Initiative
Célio Pompeu;5' 10\";163 lbs;12.10.1999 (25);Fortaleza, Brazil;Midfielder;;Supplemental Slots 25-28;
Andrew Privett;6' 1\";174 lbs;8.2.2000 (24);Fallston, MD, USA;Midfielder;;Supplemental Slots 25-28;
Alvas Powell;6' 0\";165 lbs;7.18.1994 (30);St. Thomas, Jamaica;Defender;Right;Senior;
Anthony Ramírez;5' 7\";146 lbs;12.22.2005 (19);Dallas, TX, USA;Midfielder;;;Homegrown
;;;;;;;;
Brooklyn Raines;5' 8\";141 lbs;3.11.2005 (20);unknown, unknown;Midfielder;;Signed;Homegrown
Jackson Ragen;6' 6\";205 lbs;9.24.1998 (26);Seattle, WA, USA;Defender;;Supplemental Slots 25-28;
Rubén Ramos Jr.;5' 9\";154 lbs;1.22.2007 (18);La Puente, CA, USA;Forward;;;
Federico Redondo;6' 2\";;1.18.2003 (22);Madrid, Spain;Midfielder;;;International, U22 Initiative
Alex Rando;6' 3\";185 lbs;4.15.2001 (23);New York City, NY, USA;Goalkeeper;;;
Will Reilly;5' 10\";159 lbs;12.3.2002 (22);Decatur, GA, USA;Midfielder;;;Homegrown
Marco Reus;5' 11\";157 lbs;5.31.1989 (35);Dortmund, Germany;Midfielder;Right;;
Jeremy Rafanello;6' 0\";165 lbs;4.14.2000 (24);Delran Township, USA;Midfielder;;Supplemental Slots 25-28;Homegrown
Andrew Rick;;;1.30.2006 (19);unknown, USA;Goalkeeper;;;
Sam Rogers;6' 4\";190 lbs;5.17.1999 (25);Seattle, WA, USA;Defender;;;
Rocco Ríos Novo;5' 10\";154 lbs;6.4.2002 (22);Los Angeles, CA, USA;Goalkeeper;;Senior;
Justin Reynolds;5' 9\";165 lbs;8.4.2004 (20);Chicago, IL, USA;Defender;;Supplemental Slots 29-30;Homegrown
Memo Rodríguez;5' 8\";146 lbs;12.27.1995 (29);Wharton, TX, USA;Midfielder;;Senior;Homegrown
Nicolás Rodríguez;5' 8\";;4.24.2004 (20);San José del Guaviare, Guaviare, Colombia;Midfielder;;;
Kayne Rizvanovich;;;10.26.2007 (17);;Goalkeeper;;;
Reid Roberts;6' 1\";179 lbs;12.9.2003 (21);Fort Collins, CO, USA;Defender;;;
Miles Robinson;6' 2\";185 lbs;3.14.1997 (28);Arlington, MA, USA;Defender;Right;Senior;
Birk Risa;6' 2\";174 lbs;2.13.1998 (27);Tjora, Norway;Defender;Left;Senior;International
Nicolás Romero;6' 1\";;11.28.2003 (21);Chumbicha, Argentina;Defender;;;U22 Initiative, International
Alex Roldan;5' 10\";154 lbs;7.28.1996 (28);Artesia, CA, USA;Defender;Right;Senior;
Connor Ronan;5' 7\";154 lbs;3.6.1998 (27);Rochdale, England;Midfielder;;Senior;International
Dave Romney;6' 2\";190 lbs;6.12.1993 (31);Irvine, CA, USA;Defender;;Senior;
Tomás Romero;6' 2\";190 lbs;12.19.2000 (24);Cherry Hill, NJ, USA;Goalkeeper;Right;Supplemental Slots 21-24;Homegrown
Dany Rosero;6' 2\";192 lbs;10.6.1993 (31);Bogotá, Colombia;Defender;Right;Senior;International
Anderson Rosa;5' 10\";;11.13.2001 (23);Salvador, Bahia, Brazil;Defender;;;
Andy Rojas;;;12.5.2005 (19);Grecia, Costa Rica;Midfielder;;;
Tanner Rosborough;;;3.21.2008 (17);Pittsburgh, PA, USA;Midfielder;;;
Joseph Rosales;5' 11\";161 lbs;11.6.2000 (24);Tegucigalpa, Honduras;Midfielder;Left;Senior;
Pablo Ruiz;5' 8\";176 lbs;12.20.1998 (26);Comodoro de Rivadavia, Argentina;Midfielder;Left;Senior;
Besard Sabovic;6' 1\";170 lbs;1.5.1998 (27);Stockholm, Sweden;Midfielder;;Senior;International
;;;;;;;;
Kye Rowles;6' 1\";176 lbs;6.24.1998 (26);Kiama, Australia;Defender;Left;;
David Ruiz;5' 10\";;2.8.2004 (21);unknown, USA;Midfielder;;Supplemental Slots 25-28;
Lucas Sanabria;5' 11\";;12.26.2003 (21);Florida, Uruguay;Midfielder;;;
Ilie Sánchez;6';174 lbs;11.21.1990 (34);Barcelona, Spain;Midfielder;Right;Senior;
Anisse Saidi;;;6.20.2008 (16);;Forward;;;
Adam Saldaña;5' 6\";146 lbs;2.7.2002 (23);Panorama City, CA, USA;Midfielder;;Supplemental Slots 25-28;Homegrown
Diego Rubio;5' 11\";170 lbs;5.15.1993 (31);Santiago de Chile, Chile;Forward;Right;Senior;
Sergio Santos;6' 0\";185 lbs;9.4.1994 (30);Belo Horizonte, Brazil;Forward;Right;Senior;
Nicholas Scardina;5' 11\";163 lbs;6.22.2001 (23);unknown, USA;Midfielder;;Supplemental Slots 31;
Ryan Schewe;6' 4\";194 lbs;3.8.2002 (23);Marietta, GA, USA;Goalkeeper;;;
Rodrigo Schlegel;6';181 lbs;4.3.1997 (28);Remedios de Escalada, Argentina;Defender;Right;Senior;
Will Sands;5' 10\";150 lbs;7.6.2000 (24);Rye, NY, USA;Defender;;Supplemental Slots 21-24;Homegrown
Cooper Sanchez;;;3.26.2007 (18);;Midfielder;;;
Rafael Santos;5' 11\";161 lbs;2.5.1998 (27);Londrina, Brazil;Defender;Left;Senior;
Patrick Schulte;6' 3\";174 lbs;3.13.2001 (24);St. Charles, MO, USA;Goalkeeper;;Senior;Generation adidas
David Schnegg;6' 0\";165 lbs;9.29.1998 (26);Mils bei Imst, Austria;Defender;Left;;
Marlon Santos;6' 1\";179 lbs;9.7.1995 (29);Duque de Caxias, Brazil;Defender;Right;;
Amar Sejdić;5' 10\";159 lbs;11.29.1996 (28);Berlin, Germany;Midfielder;;Senior;
Nykolas Sessock;5' 5\";141 lbs;6.17.2000 (24);Philadelphia, PA, USA;Defender;;;
Gabriel Segal;5' 10\";161 lbs;5.17.2001 (23);Washington, D.C., USA;Forward;;Signed;
Brian Schwake;6' 2\";174 lbs;8.24.2001 (23);West Hartford, CT, USA;Goalkeeper;;;
Jacob Shaffelburg;5' 11\";161 lbs;11.26.1999 (25);Kentville, NS, Canada;Forward;Left;Supplemental Slots 29-30;Homegrown
Oliver Semmle;6' 3\";201 lbs;3.28.1998 (27);Au am Rhein, Germany;Goalkeeper;;;
Tarik Scott;5' 10\";141 lbs;4.23.2005 (19);Brooklyn, NY, USA;Forward;;;Homegrown
Eddie Segura;5' 10\";154 lbs;2.2.1997 (28);Pereira, Colombia;Defender;Right;Senior;
Samuel Shashoua;5' 7\";146 lbs;5.13.1999 (25);London, England;Forward;;Supplemental Slots 21-24;
Brandon Servania;5' 10\";161 lbs;3.12.1999 (26);Birmingham, AL, USA;Midfielder;;Senior;Homegrown
Khiry Shelton;6' 3\";190 lbs;6.26.1993 (31);Fort Carson, CO, USA;Forward;Right;Senior;
;;;;;;;;
Bartosz Slisz;5' 10\";168 lbs;3.29.1999 (26);Rybnik, Poland;Midfielder;Right;Senior;
Alec Smir;6' 2\";183 lbs;4.13.1999 (25);;Goalkeeper;;Senior;
Xande Silva;5' 10\";150 lbs;3.16.1997 (28);Porto, Portugal;Midfielder;Right;Senior;International
Jack Skahan;5' 10\";172 lbs;2.7.1998 (27);unknown, USA;Midfielder;;Supplemental Slots 21-24;
Kyle Smith;5' 11\";181 lbs;1.9.1992 (33);Cincinnati, OH, USA;Defender;;Senior;
Tyger Smalls;6' 1\";;9.18.2001 (23);London, England;Forward;;;
Pablo Sisniega;6' 3\";176 lbs;7.7.1995 (29);Mexico City, Mexico;Goalkeeper;;Senior;
Jonathan Shore;5' 8\";135 lbs;4.13.2007 (17);New York City, NY, USA;Midfielder;;Signed;
Brad Smith;5' 10\";154 lbs;4.9.1994 (30);Penrith, Australia;Defender;Left;Senior;
Dayne St. Clair;6' 3\";190 lbs;5.9.1997 (27);Pickering, ON, Canada;Goalkeeper;Left;Senior;
Kimani Stewart-Baynes;5' 9\";;1.17.2005 (20);Kingstown, Saint Vincent and the Grenadines;Forward;;;
Mason Stajduhar;6' 2\";190 lbs;12.2.1997 (27);Salem, MA, USA;Goalkeeper;Right;Supplemental Slots 29-30;Homegrown
Zack Steffen;6' 3\";190 lbs;4.2.1995 (30);Coatesville, USA;Goalkeeper;Right;;
Ian Smith;6' 1\";;7.16.2002 (22);Littleton, CO, USA;Defender;;;
Travian Sousa;5' 10\";179 lbs;9.19.2001 (23);Sacramento, CA, USA;Defender;Left;;
Lazar Stefanović;6' 2\";;8.10.2006 (18);Clearwater, FL, USA;Defender;;;
Tyrese Spicer;6' 1\";;12.4.2000 (24);Trincity, Trinidad and Tobago;Forward;;;
Daniel Steres;6' 0\";172 lbs;11.11.1990 (34);Burbank, CA, USA;Defender;Right;Senior;
Peter Stroud;5' 10\";150 lbs;4.23.2002 (22);unknown, USA;Midfielder;;Supplemental Slots 29-30;Homegrown
Finn Surman;6' 3\";;9.23.2003 (21);Christchurch, New Zealand;Defender;;;
Erik Sviatchenko;6' 0\";181 lbs;10.4.1991 (33);Viborg, Denmark;Defender;Right;Senior;International
Shapi Suleymanov;5' 7\";146 lbs;12.16.1999 (25);Makhachkala, Russia;Forward;;;
Cavan Sullivan;5' 7\";150 lbs;9.28.2009 (15);Philadelphia, PA, USA;Midfielder;;;
Jared Stroud;5' 10\";159 lbs;7.10.1996 (28);Chester Borough, NJ, USA;Midfielder;;Supplemental Slots 21-24;
Quinn Sullivan;5' 11\";152 lbs;3.27.2004 (21);Philadelphia, PA, USA;Midfielder;Right;Supplemental Slots 21-24;Homegrown
Brad Stuver;6' 3\";181 lbs;4.16.1991 (33);Mayfield, OH, USA;Goalkeeper;;Senior;
Oleksandr Svatok;6' 1\";172 lbs;9.27.1994 (30);Kamianske, Ukraine;Defender;;Senior;International
Michael Sullivan;;;3.3.2003 (22);;Midfielder;;;
;;;;;;;;
Strahinja Tanasijević;6' 0\";;6.12.1997 (27);Belgrad, Yugoslavia;Defender;;;
Jamal Thiaré;6' 0\";154 lbs;3.31.1993 (32);Kaolack, Senegal;Forward;Right;Senior;
DJ Taylor;5' 8\";183 lbs;8.26.1997 (27);Raleigh, NC, USA;Defender;;Senior;
Iúri Tavares;6' 3\";163 lbs;3.8.2001 (24);unknown, Portugal;;;;International
Carlos Terán;6' 2\";187 lbs;9.24.2000 (24);Turbo, Colombia;Defender;;Senior;
Nkosi Tafari;6' 4\";192 lbs;3.23.1997 (28);Manhattan, NY, USA;Defender;;Supplemental Slots 25-28;
Andrew Tarbell;6' 3\";190 lbs;10.7.1993 (31);Mandeville, LA, USA;Goalkeeper;;Senior;
Edvard Tagseth;5' 6\";141 lbs;1.23.2001 (24);Frosta, Norway;Midfielder;;;
Andrew Thomas;6' 2\";181 lbs;9.1.1998 (26);Moscow, Russia;Goalkeeper;;Supplemental Slots 21-24;
Mason Toye;6' 3\";181 lbs;10.16.1998 (26);South Orange, NJ, USA;Forward;;Senior;Generation adidas
Cayman Togashi;5' 10\";;8.10.1993 (31);New York City, NY, USA;Forward;;;
Timothy Tillman;6' 0\";163 lbs;1.4.1999 (26);Nürnberg, Germany;Midfielder;Right;Senior;
Riley Thomas;;;3.15.2002 (23);;Defender;;;
Kosi Thompson;5' 10\";174 lbs;1.27.2003 (22);Toronto, ON, Canada;Midfielder;;Supplemental Slots 21-24;Homegrown
Nouhou Tolo;5' 10\";174 lbs;6.23.1997 (27);Douala, Cameroon;Defender;Left;Senior;
Niko Tsakiris;5' 10\";154 lbs;6.19.2005 (19);Saratoga, CA, USA;Midfielder;Left;Supplemental Slots 29-30;Homegrown
Idan Toklomati;5' 10\";;8.9.2004 (20);Netanya, Israel;Forward;;;U22 Initiative, International
Tomas Totland;5' 11\";;9.28.1999 (25);Bergen, Norway;Defender;;;
Wil Trapp;5' 8\";161 lbs;1.15.1993 (32);Columbus, OH, USA;Midfielder;;Senior;
Gavin Turner;5' 7\";141 lbs;1.5.2007 (18);Fairfax, VA, USA;Midfielder;;;
Garrison Tubbs;6' 2\";174 lbs;2.17.2002 (23);Jacksonville, FL, USA;Defender;;;
Osaze Urhoghide;6' 2\";172 lbs;7.4.2000 (24);Nijmegen, Netherlands;Defender;Right;;
Oscar Ustari;6' 1\";181 lbs;7.3.1986 (38);América, Argentina;Goalkeeper;;;
Leo Väisänen;6' 2\";168 lbs;7.23.1997 (27);Helsinki, Finland;Defender;Right;Senior;International
Maxi Urruti;6' 0\";165 lbs;2.22.1991 (34);Rosario, Argentina;Forward;;Senior;
Jeppe Tverskov;6' 1\";183 lbs;3.12.1993 (32);Copenhagen, Denmark;Midfielder;;;
Bjørn Utvik;6' 0\";;2.28.1996 (29);Avaldsnes, Norway;Defender;;;
Bill Poni Tuiloma;5' 10\";174 lbs;3.27.1995 (30);Auckland, New Zealand;Defender;Right;Senior;
Júnior Urso;5' 11\";190 lbs;3.10.1989 (36);Taboão da Serra, Brazil;Midfielder;Right;Senior;International
;;;;;;;;
Ranko Veselinović;6' 2\";170 lbs;3.24.1999 (26);Novi Sad, Serbia;Defender;Right;Senior;International
Omar Valencia;5' 11\";154 lbs;6.8.2004 (20);Panama City, Panama;Defender;Left;;
Oscar Verhoeven;6' 0\";;5.31.2006 (18);Pleasant Hill, CA, USA;Defender;;Signed;Homegrown
Indiana Vassilev;5' 8\";159 lbs;2.16.2001 (24);Savannah, GA, USA;Midfielder;Left;Senior;
Obed Vargas;5' 9\";150 lbs;8.5.2005 (19);Anchorage, AK, USA;Midfielder;;Supplemental Slots 25-28;Homegrown
Brayan Vera;5' 11\";170 lbs;1.15.1999 (26);San Luis, Colombia;Defender;Left;Senior;
Robert Voloder;6' 1\";174 lbs;5.9.2001 (23);Frankfurt am Main, Germany;Defender;Left;Senior;International, U22 Initiative
David Vazquez;5' 9\";;2.22.2006 (19);unknown, USA;Midfielder;;;
Jules-Anthony Vilsaint;6' 3\";;1.6.2003 (22);Montreal, QC, Canada;Forward;;Supplemental Slots 21-24;International
Joel Waterman;6' 2\";172 lbs;1.24.1996 (29);Langley, BC, Canada;Defender;Right;Senior;
Kai Wagner;6' 0\";176 lbs;2.15.1997 (28);Geislingen an der Steige, Germany;Defender;Left;Senior;
Conrad Wallem;6' 1\";;6.9.2000 (24);Tønsberg, Norway;Midfielder;;;
Akil Watts;5' 10\";174 lbs;2.4.2000 (25);Fort Wayne, IN, USA;Midfielder;;Supplemental Slots 25-28;
Taylor Washington;5' 10\";179 lbs;8.16.1993 (31);Manhattan, NY, USA;Defender;;Supplemental Slots 21-24;
Derrick Williams;5' 11\";165 lbs;1.17.1993 (32);Hamburg, Germany;Defender;Left;Senior;
Francis Westfield;;;12.9.2005 (19);unknown, USA;Midfielder;;;
Adrian Wibowo;;;1.17.2006 (19);;Forward;;;
Michael Wentzel;6' 2\";183 lbs;4.10.2002 (22);State College, PA, USA;Defender;;;
Marcelo Weigandt;5' 9\";163 lbs;1.11.2000 (25);Avellaneda, Argentina;Defender;Right;;
Bruno Wilson;6' 4\";176 lbs;12.27.1996 (28);Lisbon, Portugal;Defender;;Senior;International
Henry Wingo;6' 0\";170 lbs;10.4.1995 (29);Seattle, WA, USA;Defender;Right;;
Eryk Williamson;5' 9\";170 lbs;6.11.1997 (27);Alexandria, VA, USA;Midfielder;Right;Senior;Homegrown
Joe Willis;6' 5\";198 lbs;8.10.1988 (36);St. Louis, MO, USA;Goalkeeper;;Senior;
Thomas Williams;6' 3\";170 lbs;8.15.2004 (20);Titusville, FL, USA;Defender;;Supplemental Slots 25-28;Homegrown
Tyler Wolff;5' 9\";154 lbs;2.13.2003 (22);Snellville, GA, USA;Midfielder;;Supplemental Slots 29-30;Homegrown
Owen Wolff;5' 9\";146 lbs;12.30.2004 (20);Snellville, GA, USA;Midfielder;;Supplemental Slots 29-30;Homegrown
Miki Yamane;5' 10\";159 lbs;12.22.1993 (31);Yokohama, Japan;Defender;Right;;
Elijah Wynder;6' 1\";170 lbs;3.10.2003 (22);Oldham County, KY, USA;Midfielder;;;
Darren Yapi;6' 1\";174 lbs;11.19.2004 (20);Denver, CO, USA;Forward;;Supplemental Slots 25-28;Homegrown
Max Anchor;;;7.21.2004 (20);Surry, BC, Canada;Goalkeeper;;Supplemental Slots 29-30;Homegrown
Daouda Amadou;5' 3\";;10.2.2002 (22);Yaoundé, Cameroon;Midfielder;;;
Owen Anderson;;;6.6.2007 (17);Unknown, USA;Midfielder;;;
Conner Antley;6' 1\";172 lbs;3.22.1995 (30);Atlanta, GA, USA;Defender;;;
Markus Anderson;5' 10\";170 lbs;12.11.2003 (21);Brooklyn, NY, USA;Midfielder;;;
Marco Angulo;5' 11\";148 lbs;5.8.2002 (22);unknown, Ecuador;Midfielder;;Senior;International, U22 Initiative
Cristian Arango;5' 10\";154 lbs;3.9.1995 (30);Medellín, Colombia;Forward;Right;Senior;Designated Player, International
Brian Anunga;5' 11\";179 lbs;8.10.1996 (28);Yaoundé, Cameroon;Midfielder;;Senior;
Stephen Annor Gyamfi;6' 0\";141 lbs;5.19.2003 (21);Accra, Ghana;Forward;;;
Sebastian Anderson;5' 8\";154 lbs;8.8.2002 (22);Sacramento, CA, USA;Defender;Right;Supplemental Slots 21-24;Homegrown
Miguel Araujo;5' 11\";165 lbs;10.24.1994 (30);Lima, Peru;Defender;Right;;International
Allan Arigoni;6' 0\";170 lbs;11.4.1998 (26);Zürich, Switzerland;Defender;Right;Senior;International
Yamil Asad;5' 10\";163 lbs;7.27.1994 (30);San Antonio de Padua, Argentina;Midfielder;;Senior;
Paul Arriola;5' 6\";146 lbs;2.5.1995 (30);Chula Vista, CA, USA;Midfielder;;Senior;
Jacob Arroyave;;;11.12.2007 (17);;Midfielder;;;
Stuart Armstrong;6' 0\";165 lbs;3.30.1992 (33);Inverness, Scotland;Midfielder;Right;;
Hassan Ayari;5' 11\";;12.8.2002 (22);New York, NY, USA;Forward;;;
Josh Atencio;6' 1\";174 lbs;1.31.2002 (23);Bellevue, WA, USA;Midfielder;;Senior;Homegrown
Eduard Atuesta;5' 11\";154 lbs;6.18.1997 (27);Velez, Colombia;Midfielder;;Senior;
Álvaro Augusto;;;4.17.2005 (19);Gramado, Brazil;Defender;;;
Michael Baldisimo;5' 6\";165 lbs;4.13.2000 (24);Burnaby, BC, Canada;Midfielder;Right;Supplemental Slots 21-24;Homegrown
Álvaro Barreal;5' 8\";146 lbs;8.17.2000 (24);Buenos Aires, Argentina;Midfielder;Left;Senior;U22 Initiative
;;;;;;;;
Luis Barraza;6' 2\";194 lbs;11.8.1996 (28);Las Cruces, NM, USA;Goalkeeper;;Supplemental Slots 21-24;
Matthew Bell;6' 0\";;8.27.2002 (22);Kingston, Jamaica;Forward;;;
Tanner Beason;6' 1\";176 lbs;3.23.1997 (28);Winston-Salem, NC, USA;Defender;;Senior;
Damien Barker John;5' 8\";146 lbs;12.7.2004 (20);Queens, NY, USA;Midfielder;;;
Jesus Batiz;;;6.14.1999 (25);unknown, Honduras;Forward;;;
Gavin Beavers;6' 4\";183 lbs;4.29.2005 (19);unknown, USA;Goalkeeper;;Supplemental Slots 25-28;Homegrown
Nimfasha Berchimas;5' 8\";;2.22.2008 (17);unknown, USA;Forward;;;Homegrown
Alessandro Biello;6' 1\";;4.7.2006 (18);Montréal, Canada;Midfielder;;;
Aaron Bibout;;;9.3.2004 (20);Yaoundé, Cameroon;Forward;;;
Mikołaj Biegański;6' 3\";;4.5.2002 (23);Częstochowa, Poland;Goalkeeper;;Supplemental Slots 31;
Steven Birnbaum;6' 1\";176 lbs;1.23.1991 (34);Newport, CA, USA;Defender;Right;Senior;
Emmanuel Boateng;5' 6\";150 lbs;1.17.1994 (31);Accra, Ghana;Midfielder;;Senior;
Barzee Blama;6' 1\";;3.29.2005 (20);Snellville, GA, USA;Forward;;;
Mateusz Bogusz;5' 9\";152 lbs;8.22.2001 (23);Ruda Śląska, Poland;Midfielder;;Senior;International
Njabulo Blom;5' 8\";146 lbs;12.11.1999 (25);Dobsonville, South Africa;Midfielder;Right;Senior;International
Israel Boatwright;5' 11\";;6.2.2005 (19);unknown, USA;Defender;;;Homegrown
Edward Berumen;;;;;Defender;;;
Alejandro Bran;5' 9\";165 lbs;3.5.2001 (24);San José, Costa Rica;Midfielder;;Senior;International
Luca Bombino;;;7.10.2006 (18);;Defender;;;
Blake Bowen;5' 8\";150 lbs;11.4.2000 (24);San Clemente, CA, USA;Defender;;;
Dean Boltz;6' 2\";;6.7.2006 (18);Palatine, IL, USA;Forward;;;
Snyder Brunell;5' 6\";135 lbs;3.23.2007 (18);Plano, TX, USA;Midfielder;;;
Gastón Brugman;5' 9\";150 lbs;9.7.1992 (32);Rosario, Uruguay;Midfielder;Right;Senior;
Ethan Bristow;6' 2\";174 lbs;11.27.2001 (23);Maidenhead, England;Defender;;Senior;International
Tyler Boyd;5' 11\";165 lbs;12.30.1994 (30);Tauranga, New Zealand;Forward;Right;Senior;
Andrew Brody;5' 10\";154 lbs;5.3.1995 (29);Orlando, FL, USA;Defender;;Supplemental Slots 21-24;Homegrown
José Bonilla;5' 8\";;9.20.2001 (23);Dallas, TX, USA;Defender;;;
Heine Bruseth;5' 10\";;4.6.2004 (20);Gjemnes, Norway;Midfielder;;;
;;;;;;;;
Rudy Camacho;6' 1\";174 lbs;3.5.1991 (34);L'Arbresle, France;Defender;Right;Senior;International
Micah Burton;5' 8\";;3.26.2006 (19);unknown, USA;Midfielder;;Supplemental Slots 25-28;Homegrown
Déiber Caicedo;5' 6\";146 lbs;3.25.2000 (25);Barbacoas, Colombia;Forward;;Senior;International, U22 Initiative
Leo Burney;6' 3\";194 lbs;11.2.2001 (23);Seattle, WA, USA;Defender;;;
Kevin Carmichael;6' 2\";174 lbs;6.10.2002 (22);Thousand Oaks, CA, USA;Defender;;;
Brandon Cambridge;6' 0\";174 lbs;2.9.2002 (23);New York City, NY, USA;Midfielder;;Supplemental Slots 29-30;Homegrown
Noel Caliskan;5' 11\";146 lbs;8.29.2000 (24);Cologne, Germany;Midfielder;;Supplemental Slots 25-28;International
Ryan Carmichael;;;8.3.2001 (23);Madden, Northern Ireland;Forward;;;
Léo Chú;5' 10\";152 lbs;4.6.2000 (24);Porto Alegre, Brazil;Midfielder;Left;Senior;U22 Initiative
Coco Carrasquilla;5' 7\";141 lbs;11.28.1998 (26);Panama City, Panama;Midfielder;Right;Senior;International
Wilder Cartagena;5' 11\";170 lbs;9.23.1994 (30);Lima, Peru;Midfielder;Right;Senior;International
Fernando Ciceron;;;12.26.2003 (21);;Defender;;;
Ozzie Cisneros;5' 5\";130 lbs;3.13.2004 (21);Omaha, NE, USA;Midfielder;;Supplemental Slots 29-30;Homegrown
Javier Casas;5' 4\";143 lbs;5.14.2003 (21);Addison, IL, USA;Midfielder;Right;Supplemental Slots 25-28;Homegrown
Daniel Chacón;6' 0\";152 lbs;4.11.2001 (23);Turrialba, unknown;Defender;;;
Pep Casas;5' 10\";137 lbs;6.20.2000 (24);Barcelona, Spain;Midfielder;;;
Robert Castellanos;6' 2\";192 lbs;5.11.1998 (26);Palmdale, CA, USA;Defender;;Senior;
Tomás Chancalay;5' 10\";168 lbs;1.1.1999 (26);Viale, Argentina;Midfielder;Right;Senior;International, Designated Player
