name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
harry-shipp;MTL;27;20;1596;7;2;78.8;3;25;6;25;0;16;14;4;2;0
axel-sjoberg;COL;31;31;2772;0;2;82.3;1;11;6;2;0;25;11;0;6;0
luis-solignac;CHI;13;12;1072;1;2;74;0;23;11;17;0;20;14;12;1;1
tony-taylor;NYC;14;7;605;7;2;78.4;1;12;3;7;0;14;6;1;2;0
cristian-techera;VAN;29;19;1584;10;2;74.1;2;43;15;30;0;13;29;3;3;0
chris-tierney;NE;28;27;2321;1;2;73.3;3;19;6;46;0;6;9;0;1;0
ken-tribbett;PHI;22;19;1726;3;2;76.7;1;12;5;1;0;15;28;0;4;0
victor-ulloa;DAL;32;18;1639;14;2;81.4;0;11;4;15;0;21;13;1;2;0
rob-vincent;DC;20;12;1137;8;2;77.5;0;17;8;9;0;11;2;0;4;0
ronald-zubar;RBNY;21;19;1593;2;2;77.2;0;11;3;1;0;15;17;2;6;0
graham-zusi;SKC;21;18;1651;3;2;80.8;4;29;10;40;0;13;18;5;1;0
rj-allen;NYC;24;19;1751;5;1;75.7;6;4;1;21;0;39;19;2;7;0
vytas;POR;11;10;916;1;1;78.7;0;5;1;10;0;19;15;1;2;0
;POR;9;6;489;3;1;72.4;0;14;3;4;0;8;5;6;1;1
jack-barmby;POR;19;2;381;17;1;77;0;11;5;6;0;7;8;0;1;0
damarcus-beasley;HOU;24;24;1979;0;1;81.6;0;5;4;10;0;15;49;1;1;0
alejandro-bedoya;PHI;10;10;844;0;1;85.1;0;10;4;6;0;24;7;2;3;0
kyle-bekker;MTL;18;13;1139;5;1;86.5;0;10;4;14;0;14;2;0;3;0
hernan-bernardello;MTL;12;11;991;1;1;86;1;3;3;9;0;13;16;0;5;0
victor-bernardez;SJ;33;33;2835;0;1;76.3;1;13;2;4;0;40;24;2;5;0
matt-besler;SKC;18;17;1546;1;1;83;1;3;1;11;0;14;7;0;4;0
nat-borchers;POR;21;21;1813;0;1;81.8;1;5;1;1;0;10;9;0;1;0
michael-bradley;TOR;24;24;2160;0;1;83.6;5;12;3;31;0;28;20;0;5;0
frederic-brillant;NYC;31;31;2790;0;1;83.6;0;11;4;2;0;21;12;0;4;0
bobby-burling;COL;16;16;1415;0;1;76.8;0;10;2;1;0;21;11;0;4;0
julian-buescher;DC;20;3;584;17;1;73.5;4;8;4;13;0;21;12;1;3;0
joey-calistri;CHI;14;2;348;12;1;67.3;1;5;4;9;0;2;3;1;0;0
jonathan-campbell;CHI;33;30;2823;3;1;79.6;1;9;2;5;0;14;21;0;1;0
brian-carroll;PHI;26;23;2094;3;1;82.3;0;14;3;8;0;40;9;1;6;0
nuno-andre-coelho;SKC;22;20;1618;2;1;81;1;18;3;6;0;4;12;0;2;0
ashley-cole;LA;26;25;2227;1;1;85.7;0;8;2;9;0;22;31;3;3;2
sam-cronin;COL;33;33;2924;0;1;82.1;3;27;8;29;0;54;31;0;6;0
charlie-davies;NE;9;3;290;6;1;71.9;0;11;8;2;0;7;1;7;0;0
nick-deleon;DC;32;27;2509;5;1;84.7;0;34;10;22;0;21;16;2;5;0
mix-diskerud;NYC;12;9;812;3;1;74.8;2;20;7;10;0;7;14;0;1;0
landon-donovan;LA;6;2;233;4;1;75.7;0;4;1;3;0;2;2;0;1;0
dilly-duka;CLB;15;5;604;10;1;83;1;14;7;13;0;7;3;2;0;0
kevin-ellis;SKC;14;10;953;4;1;83.5;1;7;3;0;0;8;7;0;1;0
roger-espinoza;SKC;30;30;2679;0;1;79.8;5;48;12;32;0;65;54;1;10;2
brad-evans;SEA;23;21;1866;2;1;89;1;9;1;3;0;12;13;0;1;2
alvaro-fernandez;SEA;10;8;530;2;1;75.1;1;5;2;5;0;8;11;4;0;0
sean-franklin;DC;29;29;2494;0;1;76.6;2;5;1;15;0;39;17;1;5;0
olmes-garcia;RSL;24;9;964;15;1;65.7;1;18;8;13;0;23;20;7;2;0
anibal-godoy;SJ;23;23;1941;0;1;89.4;2;28;9;19;0;45;57;0;7;1
atiba-harris;DAL;28;22;1970;6;1;73.5;2;17;5;14;0;29;19;1;6;0
matt-hedges;DAL;26;26;2334;0;1;81;0;10;5;6;0;28;15;2;5;0
cristian-higuita;ORL;21;16;1513;5;1;84.4;1;11;1;11;0;42;40;0;9;1
kennedy-igboananike;DC;7;2;236;5;1;79.1;0;9;4;3;0;9;7;2;1;0
anthony-jackson-hamel;MTL;7;1;171;6;1;79.1;0;8;3;0;0;3;2;1;0;0
adam-jahn;SJ;10;0;95;10;1;70.7;0;3;1;0;0;3;3;1;0;0
jack-jewsbury;POR;23;17;1503;6;1;87.9;2;8;2;18;0;17;15;0;4;0
alhaji-kamara;DC;8;2;173;6;1;85.1;0;7;2;5;0;8;1;3;0;0
taylor-kemp;DC;31;30;2745;1;1;66.1;6;23;3;30;0;38;30;1;2;0
daigo-kobayashi;NE;27;6;701;21;1;82.6;0;13;2;3;0;6;2;0;0;0
aaron-kovar;SEA;16;10;811;6;1;78.7;0;21;5;9;0;12;8;0;1;0
connor-lade;RBNY;18;15;1380;3;1;74.2;1;15;4;7;0;17;25;1;4;0
jeff-larentowicz;LA;23;17;1496;6;1;83.6;1;11;1;8;0;33;14;0;5;0
sebastien-le-toux;COL;11;8;655;3;1;67.5;2;5;1;10;0;5;6;1;1;0
sebastian-lletget;LA;31;23;2057;8;1;87;8;29;8;23;0;20;45;3;1;0
cedrick-mabwati;CLB;17;6;593;11;1;80;0;12;5;15;0;4;5;3;0;0
cristian-martinez;CLB;5;2;197;3;1;67.9;0;4;2;1;0;6;5;0;1;0
ronald-matarrita;NYC;25;23;1988;2;1;76.9;5;25;9;15;0;28;13;2;4;0
darren-mattocks;POR;19;12;940;7;1;71.6;3;20;10;13;0;14;18;3;0;0
jimmy-medranda;SKC;28;22;1939;6;1;74;2;41;8;24;0;36;16;1;8;1
jefferson-mena;NYC;16;16;1306;0;1;79;0;6;2;1;0;14;6;0;1;0
leonel-miranda;HOU;12;3;484;9;1;80.4;1;8;2;15;0;6;8;0;0;0
darlington-nagbe;POR;27;27;2416;0;1;89.9;5;39;7;34;0;16;57;0;1;0
ike-opara;SKC;25;16;1542;9;1;78.2;3;15;7;0;0;22;11;1;4;1
damien-perquis;TOR;12;11;986;1;1;78;1;4;1;2;0;12;14;3;3;0
andrea-pirlo;NYC;32;32;2770;0;1;81.3;11;26;6;58;0;29;33;1;4;0
kwadwo-poku;NYC;7;3;268;4;1;80;0;3;1;6;0;4;8;0;0;0
dillon-powers;COL;29;24;2122;5;1;82.4;4;34;6;34;0;31;39;2;4;0
liam-ridgewell;POR;22;22;1980;0;1;80.4;0;12;4;2;0;25;30;2;6;0
raul-rodriguez;HOU;25;24;2128;1;1;76.5;0;13;3;3;0;23;7;0;3;0
robbie-rogers;LA;21;19;1655;2;1;81.6;2;6;4;16;0;22;26;0;2;0
daniel-royer;RBNY;6;3;275;3;1;69.7;1;8;2;8;0;1;8;1;0;0
diego-rubio;SKC;15;3;330;12;1;74.8;0;13;2;4;0;13;13;5;2;0
carlos-ruiz;DAL;1;0;13;1;1;0;0;1;1;0;0;0;0;1;0;0
shea-salinas;SJ;33;8;1223;25;1;71.4;5;19;9;20;0;12;8;5;0;0
lloyd-sam;RBNY;16;13;1054;3;1;80;4;19;1;19;0;11;21;2;2;0
marcelo-sarvas;DC;28;26;2247;2;1;81.1;2;22;6;25;0;67;65;0;11;1
dillon-serna;COL;9;3;280;6;1;62.9;0;5;3;3;0;4;1;1;1;0
daniel-steres;LA;31;29;2656;2;1;83.5;1;9;2;4;0;30;14;0;5;0
sunday-stephen;RSL;15;15;1115;0;1;85;1;12;3;4;0;26;14;0;4;0
steven-taylor;POR;9;9;810;0;1;83.8;0;4;2;0;0;3;6;0;0;0
tony-tchani;CLB;21;20;1791;1;1;83.9;3;27;8;29;0;35;27;0;8;1
khaly-thiam;CHI;20;15;1285;5;1;76.9;0;21;3;11;0;27;14;0;3;1
maxim-tissot;MTL;7;5;517;2;1;74.2;0;2;1;5;0;7;4;0;0;0
zarek-valentin;POR;20;18;1607;2;1;78;1;4;2;9;0;12;7;0;2;0
johan-venegas;MTL;20;7;683;13;1;73.4;1;15;8;13;0;18;17;3;2;0
je-vaughn-watson;NE;23;19;1705;4;1;80.6;1;11;4;13;0;24;20;1;3;1
london-woodberry;NE;25;23;2068;2;1;79.6;0;6;3;3;0;31;9;2;7;0
amro-tarek;CLB;1;0;2;1;0;100;0;0;0;0;0;0;0;0;0;0
saad-abdul-salaam;SKC;30;26;2377;4;0;79.8;6;15;3;25;0;32;19;4;1;0
danilo-acosta;RSL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tyler-adams;RBNY;1;1;45;0;0;78.4;0;0;0;0;0;0;0;0;0;0
sam-adekugbe;VAN;2;1;111;1;0;56.8;0;0;0;0;0;2;2;0;0;0
miguel-aguilar;DC;6;0;90;6;0;66.7;0;1;1;1;0;0;0;0;0;0
fraser-aird;VAN;18;16;1455;2;0;73.5;0;5;1;16;0;23;6;0;4;1
jose-aja;ORL;10;9;830;1;0;83.6;0;9;1;0;0;16;10;0;4;0
eric-alexander;MTL;12;12;1047;0;0;88.7;1;1;0;5;0;11;6;0;0;0
eric-alexander;HOU;10;3;327;7;0;86.5;0;2;1;3;0;3;2;0;1;0
tony-alfaro;SEA;6;1;286;5;0;76.1;0;1;0;1;0;1;4;0;0;0
brandon-allen;RBNY;1;0;7;1;0;0;0;0;0;0;0;0;1;1;0;0
kevin-alston;ORL;24;21;1989;3;0;81.9;0;4;1;14;0;23;16;0;3;0
ever-alvarado;SKC;1;0;29;1;0;91.7;0;0;0;0;0;0;2;0;0;0
getterson;DAL;4;2;152;2;0;69;0;4;2;1;0;2;1;0;0;0
mikey-ambrose;ORL;5;4;405;1;0;75.1;0;0;0;3;0;4;4;0;1;0
oalex-anderson;SEA;15;2;334;13;0;69.1;0;9;4;7;0;7;14;0;0;0
jalil-anibaba;HOU;30;28;2614;2;0;72.1;1;12;4;21;0;27;8;1;4;0
bernardo-anor;SKC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
emmanuel-appiah;SKC;1;1;90;0;0;69.4;0;1;0;0;0;0;1;0;0;0
emmanuel-appiah;COL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yair-arboleda;HOU;1;1;62;0;0;70.8;0;1;0;0;0;0;1;0;0;0
victor-arboleda;POR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gbenga-arokoyo;POR;1;0;23;1;0;73.3;0;0;0;0;0;0;0;0;0;0
david-arshakyan;CHI;9;3;324;6;0;72.6;0;9;2;2;0;2;3;0;0;0
corey-ashe;CLB;18;14;1214;4;0;81.6;4;4;0;11;0;7;18;0;1;0
jeff-attinella;RSL;4;4;360;0;0;31.3;0;0;0;0;0;0;0;0;0;0
eric-ayuk;PHI;1;1;90;0;0;33.3;0;2;2;0;0;0;1;0;0;0
micheal-azira;COL;31;28;2503;3;0;83.8;1;13;1;14;0;65;25;1;9;1
molham-babouli;TOR;16;6;647;10;0;75.9;1;10;1;11;0;11;6;3;1;0
pedro-baez;RSL;1;0;5;1;0;100;0;0;0;0;0;0;0;0;0;0
mehdi-ballouchy;NYC;4;1;145;3;0;82.8;0;0;0;2;0;2;2;0;0;0
darrius-barnes;NE;4;4;345;0;0;85.6;0;1;1;0;0;5;1;0;0;0
hadji-barry;ORL;8;4;293;4;0;77.2;1;1;0;1;0;4;4;0;0;0
chad-barson;CLB;7;3;326;4;0;86.7;0;0;0;1;0;4;5;0;0;0
kyle-beckerman;RSL;27;27;2367;0;0;82.5;1;43;12;26;0;48;27;0;8;1
adam-bedell;CLB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
steven-beitashour;TOR;29;29;2563;0;0;76.2;1;3;0;12;0;34;32;1;5;0
tony-beltran;RSL;29;27;2468;2;0;76.2;3;7;2;9;0;40;33;1;9;0
joe-bendik;ORL;34;34;3060;0;0;58;0;0;0;1;0;1;3;0;2;0
john-berner;COL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
patrice-bernier;MTL;20;13;1185;7;0;85.1;1;5;0;17;0;22;12;1;4;0
anatole-abang;RBNY;8;2;221;6;0;66.2;0;3;0;3;0;4;2;0;0;0
justin-bilyeu;RBNY;3;1;117;2;0;72.5;0;2;1;0;0;1;0;0;0;0
david-bingham;SJ;34;34;3015;0;0;50.7;0;0;0;1;0;0;1;0;2;0
