name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
charlie-davies;NE;18;13;1143;5;3;75;4;17;8;11;0;17;15;9;3;0
mauro-diaz;DAL;17;9;918;8;3;82.6;3;20;6;20;0;11;35;1;2;0
yannick-djalo;SJ;18;13;1136;5;3;80;2;36;7;16;0;11;36;1;2;0
dilly-duka;MTL;14;12;1023;2;3;78.2;3;19;6;10;0;18;14;4;0;0
robert-earnshaw;CHI;5;1;174;4;3;81.5;0;10;6;1;0;2;1;3;0;0
maurice-edu;PHI;31;31;2789;0;3;82.2;2;37;9;16;0;46;41;0;5;1
olmes-garcia;RSL;23;12;1191;11;3;72.7;0;31;12;7;0;27;28;10;4;0
matt-hedges;DAL;32;32;2790;0;3;86.2;1;19;6;3;0;29;17;2;4;0
felipe-martins;MTL;31;28;2456;3;3;80.3;6;60;17;30;0;43;51;4;5;0
dax-mccarty;RBNY;31;29;2661;2;3;87;3;24;7;16;0;26;36;3;2;0
kenny-miller;VAN;9;7;637;2;3;81.3;1;15;7;8;0;10;8;6;0;0
jonathan-osorio;TOR;27;24;2039;3;3;86.7;4;17;6;29;0;16;35;3;1;1
gonzalo-pineda;SEA;28;24;2233;4;3;82.7;7;16;9;39;0;39;43;0;9;0
andy-rose;SEA;16;5;552;11;3;81.4;1;8;6;7;0;3;2;0;0;0
soony-saad;SKC;22;9;906;13;3;73.8;1;31;12;15;0;14;13;0;1;0
marcelo-sarvas;LA;28;25;2218;3;3;86.3;11;39;15;24;0;57;43;1;6;0
aaron-schoenfeld;CLB;15;7;748;8;3;67.5;1;24;11;6;0;19;15;9;1;0
chris-schuler;RSL;25;25;2154;0;3;84.4;1;14;6;6;0;32;9;0;4;0
dillon-serna;COL;27;18;1623;9;3;72;4;39;14;27;0;15;15;9;2;0
gabriel-torres;COL;23;11;1090;12;3;82;1;26;12;20;0;5;18;17;2;0
sheanon-williams;PHI;24;23;2088;1;3;76.3;4;17;6;17;0;24;34;0;2;0
eric-alexander;RBNY;34;30;2641;4;2;85.7;9;25;12;20;0;11;28;1;3;0
juan-luis-anangono;CHI;15;4;472;11;2;73.6;0;18;5;4;0;10;13;4;0;0
davy-arnaud;DC;31;30;2626;1;2;81.7;0;21;6;22;0;47;53;2;8;0
adam-bedell;CLB;16;7;632;9;2;71.6;0;14;10;7;0;12;5;6;0;0
victor-bernardez;SJ;26;25;2231;1;2;79.9;1;8;4;3;0;29;22;1;6;0
claudio-bieler;SKC;13;4;421;9;2;78.4;0;12;3;2;0;9;7;4;1;0
michael-bradley;TOR;25;25;2198;0;2;85.7;4;52;12;48;0;26;28;0;6;0
brian-brown;PHI;8;1;230;7;2;79;1;5;3;1;0;2;4;1;0;0
edson-buddle;COL;18;12;1116;6;2;73;1;33;9;16;0;24;13;3;1;0
tim-cahill;RBNY;23;18;1516;5;2;82.8;2;26;8;15;0;51;17;8;4;1
diego-chara;POR;31;31;2745;0;2;85.3;5;9;5;25;0;83;52;1;8;0
marvin-chavez;CHV;14;8;703;6;2;81;0;9;2;8;0;17;16;6;2;1
aurelien-collin;SKC;26;25;2104;1;2;82.9;0;24;6;7;0;42;27;11;2;1
sam-cronin;SJ;31;30;2627;1;2;86.5;0;26;6;37;0;36;18;1;5;0
pedro-ribeiro;PHI;9;3;351;6;2;63.1;0;11;3;4;0;6;5;2;0;0
nick-deleon;DC;32;31;2707;1;2;81.8;5;47;18;25;0;31;25;1;3;0
marky-delgado;CHV;20;12;1120;8;2;70.7;1;12;4;10;0;24;6;1;4;1
andres-escobar;DAL;23;18;1590;5;2;87.9;4;23;8;21;0;15;52;2;0;0
leo-fernandes;PHI;13;7;697;6;2;78.8;1;20;7;13;0;8;15;4;0;0
boniek-garcia;HOU;27;26;2206;1;2;81;1;25;9;49;0;39;58;3;4;0
luis-gil;RSL;26;16;1386;10;2;79.1;2;20;6;19;0;12;12;1;0;0
ned-grabavoy;RSL;33;30;2711;3;2;87.8;3;28;10;27;0;29;45;5;2;0
nick-hagglund;TOR;25;23;2088;2;2;78.7;3;22;6;9;0;22;21;2;2;2
jordan-harvey;VAN;33;33;2939;0;2;78.6;0;17;4;23;0;33;26;4;6;1
kamani-hill;COL;15;11;866;4;2;84.3;0;17;7;18;0;17;16;1;2;0
jermaine-jones;NE;10;7;613;3;2;79;4;17;7;2;0;11;13;1;3;0
cristian-maidana;PHI;26;23;1889;3;2;77.4;11;36;11;54;0;4;22;2;0;1
nicolas-mezquida;VAN;14;4;418;10;2;71;0;11;5;10;0;11;6;1;0;0
drew-moor;COL;23;23;1994;0;2;83.5;1;15;7;5;0;16;19;2;2;0
paulo-nagamura;SKC;21;21;1745;0;2;83.4;3;28;10;15;0;31;22;5;5;0
issey-nakajima-farran;TOR;5;2;235;3;2;76.8;0;6;3;3;0;5;6;0;1;0
vincent-nogueira;PHI;29;28;2498;1;2;85.6;3;59;14;34;0;14;43;10;1;0
dominic-oduro;TOR;24;17;1514;7;2;76.1;5;24;9;20;0;12;45;10;2;0
amobi-okugo;PHI;32;31;2797;1;2;81.4;2;31;7;10;0;39;20;0;3;1
lawrence-olum;SKC;25;21;1853;4;2;78.5;1;14;4;6;0;18;4;1;6;0
;SKC;22;13;1301;9;2;82.1;2;24;10;17;0;12;15;3;2;0
alvas-powell;POR;15;11;1052;4;2;70;2;14;7;11;0;21;10;1;1;1
liam-ridgewell;POR;15;15;1350;0;2;74.6;1;10;4;4;0;16;14;2;3;0
cj-sapong;SKC;20;7;811;13;2;61.9;0;14;5;4;0;21;22;4;1;0
mark-sherrod;HOU;9;3;223;6;2;71.6;1;9;2;3;0;5;1;3;1;0
a-j-soares;NE;32;32;2806;0;2;77;1;21;4;3;0;44;30;1;5;1
khari-stephenson;SJ;19;11;1080;8;2;81.3;2;34;8;13;0;15;12;1;0;0
maxim-tissot;MTL;20;7;762;13;2;68.7;0;10;4;7;0;7;13;4;2;0
kendall-waston;VAN;10;9;821;1;2;76.9;0;12;2;2;0;18;9;0;5;0
kalif-alhassan;POR;15;5;590;10;1;80.1;1;14;4;4;0;6;15;0;1;0
kevin-alston;NE;11;9;683;2;1;76;3;3;2;6;0;10;7;1;1;1
darrius-barnes;NE;22;16;1628;6;1;74.5;2;6;2;4;0;29;11;0;4;0
leandro-barrera;CHV;32;24;2071;8;1;74.6;2;36;16;26;0;18;43;6;3;0
jerry-bengtson;NE;7;1;238;6;1;70.7;0;4;1;2;0;9;6;6;1;0
nat-borchers;RSL;32;32;2856;0;1;86.4;0;12;3;4;0;19;14;1;3;1
bobby-boswell;DC;34;34;3045;0;1;73.8;3;19;5;6;0;36;11;1;2;0
ruben-bover;RBNY;15;2;243;13;1;80.5;0;5;4;4;0;6;4;1;1;0
marc-burch;COL;22;21;1899;1;1;77.7;3;11;1;25;0;21;12;0;3;0
bobby-burling;CHV;22;20;1807;2;1;70.4;0;8;1;3;0;29;16;0;7;1
hassoun-camara;MTL;28;26;2365;2;1;73.6;1;11;4;8;0;56;29;1;11;1
fred;PHI;11;3;343;8;1;81.7;0;8;2;2;0;13;11;0;0;0
warren-creavalle;TOR;10;7;612;3;1;79.1;0;1;1;2;0;7;7;0;1;0
dwayne-de-rosario;TOR;19;4;506;15;1;72;0;19;10;4;0;9;9;3;1;0
robbie-findley;RSL;16;8;764;8;1;77.3;0;24;9;6;0;11;21;3;0;0
ryan-finley;CHV;16;4;437;12;1;75;0;13;4;3;0;4;9;2;0;0
sean-franklin;DC;29;28;2532;1;1;77.1;4;16;3;20;0;19;15;5;0;0
jose-goncalves;NE;27;27;2381;0;1;78.5;2;10;2;6;0;33;29;1;3;0
giancarlo-gonzalez;CLB;17;17;1530;0;1;83.7;0;9;1;0;0;15;11;1;3;0
marlon-hairston;COL;22;9;988;13;1;78.8;1;12;4;16;0;12;21;3;1;0
doneil-henry;TOR;21;19;1802;2;1;79;0;14;3;2;0;37;18;1;8;0
david-horst;HOU;31;31;2653;0;1;79.8;1;15;1;2;0;37;26;0;3;1
jhon-kennedy-hurtado;CHI;19;19;1632;0;1;77.8;0;6;3;3;0;24;15;0;3;1
hector-jimenez;CLB;24;19;1694;5;1;80.2;5;23;6;25;0;17;14;5;2;0
benji-joya;CHI;12;9;651;3;1;73;0;16;3;4;0;16;12;1;2;0
pa-modou-kah;POR;20;20;1744;0;1;77.5;0;5;1;2;0;23;16;1;5;0
taylor-kemp;DC;13;12;1083;1;1;70.3;2;5;2;2;0;14;7;0;2;0
gershon-koffie;VAN;21;17;1541;4;1;82.2;1;20;5;21;0;36;38;0;4;0
nick-labrocca;COL;31;29;2584;2;1;81;1;32;7;24;0;38;28;1;9;0
steven-lenhart;SJ;11;10;905;1;1;75;1;31;12;11;0;16;42;5;5;0
zach-loyd;DAL;29;28;2414;1;1;81.3;0;5;2;7;0;20;25;1;2;1
calum-mallace;MTL;23;12;1122;11;1;84.6;3;13;3;13;0;18;7;0;3;0
chad-marshall;SEA;31;31;2790;0;1;83.1;3;14;4;4;0;20;36;1;1;0
jack-mcinerney;PHI;4;4;312;0;1;75.3;1;12;5;1;0;6;5;0;2;0
thomas-mcnamara;CHV;6;6;467;0;1;79.3;0;6;3;5;0;6;6;0;1;0
carlyle-mitchell;VAN;8;8;720;0;1;88.1;0;5;2;0;0;7;3;0;2;0
darlington-nagbe;POR;32;30;2681;2;1;87;7;42;17;51;0;13;93;4;0;0
john-neeskens;COL;5;3;273;2;1;75.6;0;5;1;3;0;5;6;0;0;0
patrick-nyarko;CHI;17;9;846;8;1;72;3;10;5;8;0;11;27;2;3;1
sanna-nyassi;MTL;4;4;242;0;1;75;0;7;5;1;0;4;6;0;1;0
sanna-nyassi;CHI;10;6;496;4;1;79.2;1;11;2;6;0;19;16;6;1;0
shane-o-neill;COL;21;21;1890;0;1;82.8;0;6;4;2;0;25;12;0;6;0
bradley-orr;TOR;19;14;1144;5;1;67.8;1;3;2;2;0;9;12;0;1;0
lovel-palmer;CHI;30;29;2625;1;1;73.4;1;30;8;20;0;31;14;2;7;0
agustin-pelletieri;CHV;27;22;1684;5;1;81.9;0;10;4;8;0;36;4;1;4;1
matias-perez-garcia;SJ;6;4;384;2;1;78.2;1;10;3;3;0;5;16;0;0;0
zach-pfeffer;PHI;5;1;98;4;1;90.4;0;2;2;1;0;4;3;1;0;0
jean-baptiste-pierazzi;SJ;24;23;1982;1;1;87.1;0;17;6;15;0;24;12;1;3;0
chris-pontius;DC;6;3;276;3;1;80.3;0;6;4;2;0;1;6;1;0;0
leonardo;LA;24;20;1837;4;1;87.2;0;8;1;3;0;19;7;0;1;0
antonio-dovale;SKC;19;14;1033;5;1;82.5;3;29;8;13;0;15;13;0;3;1
carlos-salcedo;RSL;12;8;800;4;1;85.1;0;4;2;2;0;10;5;0;2;0
shea-salinas;SJ;31;30;2471;1;1;77.2;8;26;9;54;0;31;30;4;3;1
saer-sene;NE;10;5;395;5;1;81.2;0;9;4;6;0;1;3;2;1;0
florent-sinama-pongolle;CHI;7;4;391;3;1;76.7;0;9;4;8;0;3;5;0;0;0
ben-speas;CLB;13;8;704;5;1;78.3;3;20;3;14;0;1;8;1;0;0
jonny-steele;RBNY;15;6;624;9;1;71.6;2;16;5;12;0;9;4;4;1;0
chris-tierney;NE;24;21;1930;3;1;80.5;5;21;9;31;0;11;9;0;4;0
wil-trapp;CLB;28;28;2486;0;1;87.2;4;11;3;19;0;37;23;0;6;2
kristopher-tyrpak;CHV;9;0;156;9;1;82.5;1;1;1;1;0;1;2;1;1;0
sebastian-velasquez;RSL;10;1;222;9;1;80.5;2;4;2;7;0;5;6;0;0;0
agustin-viana;CLB;4;4;300;0;1;86.4;0;5;1;3;0;10;8;0;1;0
jorge-villafana;POR;19;17;1577;2;1;79.5;2;4;1;15;0;23;21;1;1;0
grant-ward;CHI;23;12;1051;11;1;80.9;2;15;4;9;0;13;21;2;2;0
matt-watson;CHI;27;22;2034;5;1;79.1;1;25;9;9;0;26;19;2;4;0
andrew-wenger;MTL;4;3;286;1;1;77;0;7;4;5;0;8;5;2;0;1
aminu-abdallah;VAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kellyn-acosta;DAL;15;9;843;6;0;76.3;1;7;0;7;0;13;8;0;2;0
sam-adekugbe;VAN;4;1;193;3;0;87.9;0;0;0;0;0;3;3;0;1;0
gale-agbossoumonde;COL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gale-agbossoumonde;TOR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andre-akpan;RBNY;5;0;16;5;0;63.6;0;0;0;0;0;4;1;0;1;0
andre-akpan;NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bryce-alderson;VAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jordan-allen;RSL;2;0;9;2;0;100;0;0;0;0;0;0;1;0;0;0
osvaldo-alonso;SEA;33;33;2952;0;0;91.1;2;33;4;25;0;45;58;0;7;0
carlos-alvarez;CHV;11;7;694;4;0;80.3;0;15;3;6;0;16;6;0;4;0
carlos-alvarez;COL;10;6;568;4;0;83.6;1;14;4;7;0;12;3;0;0;0
yordany-alvarez;RSL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jalil-anibaba;SEA;16;14;1283;2;0;79.8;1;8;1;5;0;14;6;1;1;0
onyekachi-apam;SEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
manny-aparicio;TOR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anthony-arena;HOU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
davy-armstrong;COL;2;0;57;2;0;58.1;0;0;0;0;0;3;0;0;0;0
corey-ashe;HOU;21;20;1879;1;0;77.2;3;8;2;10;0;11;24;0;2;0
nana-attakora;DC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jeff-attinella;RSL;10;10;900;0;0;55.8;0;1;0;0;0;0;1;0;0;0
eric-avila;CHV;29;26;2171;3;0;75.9;1;16;5;12;0;23;26;0;2;0
micheal-azira;SEA;14;6;606;8;0;85.2;0;7;1;6;0;13;6;0;2;0
rich-balchan;RSL;4;2;233;2;0;82.2;0;1;0;0;0;5;1;0;0;0
mehdi-ballouchy;VAN;9;3;297;6;0;80.2;0;1;0;5;0;4;5;0;1;0
brandon-barklage;SJ;13;10;908;3;0;77.3;0;2;0;5;0;12;7;0;2;0
orr-barouch;CHI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chad-barson;CLB;13;8;766;5;0;82.8;0;3;2;9;0;10;11;0;1;0
adolfo-bautista;CHV;7;1;148;6;0;82.7;1;3;0;0;0;7;4;0;1;0
damarcus-beasley;HOU;10;10;821;0;0;83.3;0;5;1;8;0;2;13;1;1;0
steven-beitashour;VAN;27;27;2371;0;0;79.9;3;3;0;8;0;23;33;1;3;0
kyle-bekker;TOR;20;13;1117;7;0;82.6;0;18;4;17;0;16;8;0;1;0
louis-beland-goyette;MTL;1;0;15;1;0;77.8;0;0;0;0;0;0;3;0;0;0
tony-beltran;RSL;29;28;2483;1;0;81.8;0;7;0;13;0;39;17;2;6;1
joe-bendik;TOR;27;27;2430;0;0;60.1;1;0;0;0;0;1;3;0;2;0
jair-benitez;DAL;26;19;1716;7;0;76.9;4;10;2;22;0;16;32;2;1;0
hernan-bernardello;MTL;10;10;844;0;0;76.4;0;7;2;10;0;20;8;0;3;0
john-berner;COL;5;5;450;0;0;56.3;0;0;0;0;0;0;0;0;0;0
patrice-bernier;MTL;26;20;1802;6;0;83.3;3;11;2;12;0;32;20;0;2;0
austin-berry;PHI;6;6;497;0;0;75.3;1;2;0;0;0;6;3;0;2;0
matt-besler;SKC;24;24;2145;0;0;82.7;1;4;0;12;0;37;13;0;4;1
david-bingham;SJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
steven-birnbaum;DC;21;21;1890;0;0;78.3;0;11;1;1;0;10;14;0;0;0
james-bissue;MTL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andre-blake;PHI;1;1;90;0;0;57.7;0;0;0;1;0;0;0;0;0;0
mark-bloom;TOR;26;26;2290;0;0;72;1;9;3;19;0;21;27;3;2;0
carlos-bocanegra;CHV;18;18;1620;0;0;79.5;0;4;1;4;0;13;11;0;1;0
luis-bolanos;CHV;3;0;51;3;0;83.3;0;2;0;1;0;0;2;0;0;0
corben-bone;PHI;2;0;13;2;0;40;0;0;0;0;0;4;0;0;1;1
carlos-borja;CHV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tristan-bowen;SEA;2;0;60;2;0;79.3;0;3;1;1;0;1;1;0;0;0
jeb-brovsky;MTL;7;7;596;0;0;77.5;0;2;2;0;0;4;2;0;1;0
eric-brunner;HOU;6;3;297;3;0;79.2;0;0;0;1;0;4;3;0;1;0
jon-busch;SJ;34;34;3060;0;0;58;1;0;0;0;0;0;5;0;0;0
evan-bush;MTL;13;13;1170;0;0;64.7;0;0;0;0;0;0;1;0;2;0
michael-bustamante;RBNY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
marco-bustos;VAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
walter-cabrera;DAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
scott-caldwell;NE;26;14;1553;12;0;84.1;2;6;1;12;0;29;12;0;6;0
steven-caldwell;TOR;21;21;1774;0;0;79.3;0;5;0;1;0;15;8;2;3;1
caleb-calvert;COL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
caleb-calvert;CHV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
marco-carducci;VAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
servando-carrasco;HOU;16;9;784;7;0;83.9;0;5;1;4;0;9;8;0;0;1
brian-carroll;PHI;21;17;1467;4;0;84.2;1;14;2;13;0;11;6;1;0;0
tony-cascio;HOU;6;4;351;2;0;76.6;0;8;1;8;0;3;3;0;0;0
alex-caskey;DC;11;2;198;9;0;70.3;0;3;1;1;0;4;5;1;0;1
santiago-castano;RBNY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geoffrey-castillion;NE;1;0;14;1;0;66.7;0;0;0;0;0;0;0;0;0;0
marvin-chavez;COL;2;0;39;2;0;76.9;0;2;1;0;0;1;1;0;0;0
ian-christianson;RBNY;3;0;9;3;0;100;0;0;0;0;0;1;0;0;0;0
steve-clark;CLB;34;34;3060;0;0;75.9;0;0;0;0;0;0;10;0;2;0
caleb-clarke;VAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jorge-claros;SKC;7;4;419;3;0;86.6;0;1;0;5;0;7;3;0;1;0
aj-cochran;HOU;19;14;1370;5;0;77;0;7;3;3;0;18;9;1;3;1
