name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
sean-nealis;RBNY;28;24;2234;1134;1302;87.1;5;0;0;2;0.08;29;235;0;24
jakob-glesnes;PHI;32;32;2810;1130;1351;83.6;10;0;0;3;0.1;98;131;0;68
gabriel-pec;LA;33;30;2730;1128;1258;89.7;51;50;5;14;0.46;17;413;9.43;17
derrick-williams;ATL;27;26;2265;1122;1278;87.8;6;0;0;1;0.04;82;193;0;44
aidan-morris;CLB;16;15;1274;1118;1192;93.8;10;1;3;6;0.42;31;315;60;51
andrew-brody;RSL;33;23;2105;1083;1231;88;15;0;7;2;0.09;43;305;41.18;19
tristan-muyumba;ATL;30;25;2124;1082;1196;90.5;23;0;0;2;0.08;25;425;0;21
kamal-miller;POR;23;22;1960;1081;1250;86.5;1;0;0;1;0.05;71;133;0;40
pedro-vite;VAN;28;23;2024;1080;1220;88.5;18;4;2;3;0.13;66;232;16.67;30
sam-junqua;DAL;31;26;2240;1078;1253;86;9;14;10;2;0.08;37;289;37.04;21
evander;POR;28;27;2459;1077;1305;82.5;89;115;42;19;0.7;48;337;32.81;103
jack-elliott;PHI;28;27;2393;1075;1288;83.5;5;0;0;3;0.11;100;149;0;43
alexander-ring;ATX;34;29;2598;1075;1273;84.5;36;38;15;7;0.24;47;323;23.81;70
gabriele-corbo;MTL;28;18;1720;1064;1243;85.6;7;0;1;0;0;63;268;25;51
ivan-angulo;ORL;34;34;2772;1063;1226;86.7;41;3;11;10;0.32;3;510;32.35;4
kellyn-acosta;CHI;34;27;2311;1050;1216;86.3;31;56;19;3;0.12;42;337;26.39;56
jacob-davis;SKC;27;25;2229;1049;1263;83.1;29;6;13;5;0.2;48;332;29.55;21
kevin-long;TOR;26;24;2114;1046;1209;86.5;7;0;0;0;0;46;203;0;28
jalen-neal;LA;18;14;1381;1045;1099;95.1;2;0;0;0;0;10;244;0;13
keegan-rosenberry;COL;31;29;2622;1045;1300;80.4;18;0;12;1;0.03;59;235;35.29;23
ilie-sanchez;LAFC;31;24;2162;1034;1190;86.9;12;2;0;3;0.12;26;210;0;33
nicksoen-gomis;TOR;24;23;2045;1032;1154;89.4;5;0;2;0;0;22;256;66.67;20
nathan-byrne;CLT;31;31;2790;1029;1273;80.8;19;0;14;3;0.1;67;204;27.45;23
albert-rusnak;SEA;32;28;2539;1026;1165;88.1;84;129;53;16;0.57;25;312;39.55;77
andreu-fontas;SKC;17;16;1410;1024;1150;89;5;0;0;1;0.06;66;126;0;23
xavier-arreaga;NE;23;22;1937;1023;1159;88.3;10;0;0;1;0.05;49;152;0;26
arnaud-souquet;CHI;26;21;1874;1017;1202;84.6;8;0;4;1;0.05;35;238;11.11;22
timothy-tillman;LAFC;32;29;2484;1017;1158;87.8;35;1;6;7;0.25;30;263;23.08;28
bjorn-inge-utvik;VAN;23;19;1705;1015;1139;89.1;5;0;0;0;0;71;115;0;29
nouhou;SEA;27;26;2209;1008;1187;84.9;10;0;6;0;0;39;282;15;16
obed-vargas;SEA;30;28;2542;1008;1159;87;30;0;2;7;0.25;20;389;14.29;15
