name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
devon-sandoval;RSL;12;2;228;8;27;44.4;1;4;1
gonzalo-veron;RBNY;23;6;631;8;23;26.1;4;11;2
mikey-ambrose;ORL;5;4;405;7;10;50;12;4;6
chad-barrett;SJ;20;3;531;7;28;42.9;3;4;2
anatole-abang;RBNY;8;2;221;7;21;42.9;3;4;1
kip-colvey;SJ;4;3;315;7;6;33.3;7;1;9
charlie-davies;NE;9;3;290;7;11;18.2;0;7;0
alphonso-davies;VAN;8;2;299;7;9;44.4;2;10;7
leo-fernandes;PHI;12;2;256;7;13;38.5;6;9;5
alvaro-fernandez;SEA;10;8;530;7;21;38.1;3;8;3
anthony-jackson-hamel;MTL;7;1;171;7;17;47.1;2;3;1
sebastien-le-toux;COL;11;8;655;7;14;42.9;8;5;7
daniel-lovitz;TOR;12;5;406;7;20;40;4;11;7
abdoulie-mansally;HOU;9;5;566;7;9;33.3;8;9;14
leonel-miranda;HOU;12;3;484;7;7;28.6;1;6;15
gilberto;CHI;9;8;641;7;34;52.9;5;7;3
kwadwo-poku;NYC;7;3;268;7;5;100;1;4;2
jalen-robinson;DC;4;3;271;7;8;37.5;16;3;9
diego-rubio;SKC;15;3;330;7;19;52.6;2;13;2
brad-stuver;CLB;2;2;180;7;0;0;0;1;0
roman-torres;SEA;9;8;765;7;29;69;24;5;20
oalex-anderson;SEA;15;2;334;6;7;42.9;0;7;0
jeff-attinella;RSL;4;4;360;6;1;100;7;0;0
mark-bloom;TOR;7;5;339;6;9;66.7;10;4;2
tyler-deric;HOU;10;10;772;6;3;100;7;2;4
kennedy-igboananike;DC;7;2;236;6;13;15.4;0;9;3
alhaji-kamara;DC;8;2;173;6;10;60;2;8;1
dylan-remick;SEA;11;6;537;6;13;53.9;11;6;11
miguel-aguilar;DC;6;0;90;5;3;0;0;0;2
eric-alexander;HOU;10;3;327;5;8;62.5;5;3;1
jay-chapman;TOR;18;9;780;5;32;53.1;7;14;8
armando-cooper;TOR;6;4;390;5;7;42.9;2;8;5
rafael-garcia;LA;6;2;269;5;5;60;9;5;7
omar-holness;RSL;9;3;277;5;9;22.2;3;6;3
